ensembl_gene_id,total_exon_length
ENSG00000224051,2552
ENSG00000169962,3427
ENSG00000107404,3472
ENSG00000162576,3364
ENSG00000175756,1667
ENSG00000223663,366
ENSG00000221978,6822
ENSG00000224870,2524
ENSG00000242485,2785
ENSG00000264293,291
ENSG00000272455,1522
ENSG00000235098,2641
ENSG00000225905,541
ENSG00000205116,490
ENSG00000225285,848
ENSG00000179403,5061
ENSG00000215915,3964
ENSG00000160072,7734
ENSG00000197785,3051
ENSG00000205090,747
ENSG00000160075,5423
ENSG00000215791,2176
ENSG00000215014,1018
ENSG00000236684,241
ENSG00000228594,2084
ENSG00000272106,2037
ENSG00000197530,8753
ENSG00000189409,2268
ENSG00000248333,3105
ENSG00000272004,398
ENSG00000189339,7781
ENSG00000269737,1421
ENSG00000269227,500
ENSG00000215914,1118
ENSG00000008128,4692
ENSG00000268575,5059
ENSG00000227775,2754
ENSG00000215790,2495
ENSG00000008130,5620
ENSG00000078369,6336
ENSG00000231050,904
ENSG00000169885,2318
ENSG00000178821,1592
ENSG00000142609,10377
ENSG00000233542,1952
ENSG00000187730,1904
ENSG00000226969,535
ENSG00000067606,7600
ENSG00000271806,4195
ENSG00000182873,2595
ENSG00000162585,10699
ENSG00000269554,1942
ENSG00000203301,2260
ENSG00000243558,312
ENSG00000234396,324
ENSG00000157933,6071
ENSG00000116151,8386
ENSG00000272161,492
ENSG00000269753,461
ENSG00000269896,2406
ENSG00000238240,213
ENSG00000272420,567
ENSG00000271921,500
ENSG00000271847,743
ENSG00000178642,3108
ENSG00000157916,5630
ENSG00000157911,2952
ENSG00000149527,10759
ENSG00000224387,453
ENSG00000229393,512
ENSG00000157881,5059
ENSG00000197921,1303
ENSG00000272449,995
ENSG00000238164,6132
ENSG00000157873,6212
ENSG00000225931,1294
ENSG00000228037,623
ENSG00000157870,3340
ENSG00000142606,3872
ENSG00000237058,371
ENSG00000215912,5889
ENSG00000233234,605
ENSG00000231630,427
ENSG00000169717,1419
ENSG00000177133,5596
ENSG00000256761,433
ENSG00000142611,9749
ENSG00000226286,467
ENSG00000272235,3460
ENSG00000130762,5548
ENSG00000272088,381
ENSG00000162591,7000
ENSG00000207776,95
ENSG00000238260,619
ENSG00000158109,2409
ENSG00000116213,7597
ENSG00000078900,6747
ENSG00000227589,751
ENSG00000235131,349
ENSG00000227372,6591
ENSG00000162592,2306
ENSG00000235169,951
ENSG00000130764,2846
ENSG00000266075,294
ENSG00000272153,530
ENSG00000116198,7852
ENSG00000169598,3846
ENSG00000264428,69
ENSG00000198912,4384
ENSG00000236423,4059
ENSG00000233304,3567
ENSG00000226374,934
ENSG00000229280,371
ENSG00000235054,2071
ENSG00000227169,354
ENSG00000232596,677
ENSG00000196581,12397
ENSG00000231510,445
ENSG00000260972,1696
ENSG00000264341,72
ENSG00000236948,361
ENSG00000216045,88
ENSG00000264101,69
ENSG00000131697,13136
ENSG00000266687,85
ENSG00000069424,9224
ENSG00000268332,79
ENSG00000116254,9846
ENSG00000116251,4892
ENSG00000226944,375
ENSG00000158286,6570
ENSG00000116237,4904
ENSG00000225077,1680
ENSG00000173673,693
ENSG00000158292,4076
ENSG00000097021,4877
ENSG00000271746,836
ENSG00000069812,5402
ENSG00000187017,4093
ENSG00000265392,62
ENSG00000231868,348
ENSG00000215788,3911
ENSG00000171680,6928
ENSG00000162408,7281
ENSG00000253022,110
ENSG00000229519,399
ENSG00000173662,2886
ENSG00000204859,4497
ENSG00000162413,6665
ENSG00000116273,3677
ENSG00000041988,4065
ENSG00000007923,5127
ENSG00000228750,2061
ENSG00000239166,102
ENSG00000237436,412
ENSG00000171735,10003
ENSG00000227950,285
ENSG00000237365,347
ENSG00000207056,164
ENSG00000237402,363
ENSG00000237728,739
ENSG00000225126,359
ENSG00000270171,1720
ENSG00000270035,569
ENSG00000269978,266
ENSG00000049245,2754
ENSG00000269925,392
ENSG00000049246,8036
ENSG00000236266,827
ENSG00000049247,1776
ENSG00000049249,2274
ENSG00000270330,354
ENSG00000116288,2386
ENSG00000200344,102
ENSG00000116285,4182
ENSG00000238290,2041
ENSG00000232848,798
ENSG00000229305,1071
ENSG00000200975,163
ENSG00000227634,493
ENSG00000233645,475
ENSG00000265414,254
ENSG00000251977,106
ENSG00000162426,2878
ENSG00000252254,112
ENSG00000142599,11470
ENSG00000232912,697
ENSG00000221083,124
ENSG00000270282,368
ENSG00000234619,657
ENSG00000224315,702
ENSG00000222511,98
ENSG00000226545,413
ENSG00000228423,351
ENSG00000229716,368
ENSG00000074800,3944
ENSG00000236269,742
ENSG00000230679,454
ENSG00000201725,106
ENSG00000238249,742
ENSG00000232208,351
ENSG00000232663,162
ENSG00000131686,2652
ENSG00000265141,296
ENSG00000197241,1527
ENSG00000142583,6837
ENSG00000252404,183
ENSG00000180758,5368
ENSG00000207865,109
ENSG00000228526,447
ENSG00000234546,982
ENSG00000049239,9315
ENSG00000252841,142
ENSG00000171621,3398
ENSG00000252956,109
ENSG00000235263,706
ENSG00000171612,3847
ENSG00000231181,558
ENSG00000188807,7005
ENSG00000171608,6566
ENSG00000179840,1821
ENSG00000233268,419
ENSG00000231789,936
ENSG00000171603,5540
ENSG00000271264,244
ENSG00000178585,3335
ENSG00000223989,421
ENSG00000162441,2782
ENSG00000228150,438
ENSG00000173614,4604
ENSG00000202415,318
ENSG00000265521,77
ENSG00000241326,434
ENSG00000162444,856
ENSG00000225786,234
ENSG00000130939,9108
ENSG00000224340,336
ENSG00000233623,678
ENSG00000201746,106
ENSG00000054523,17641
ENSG00000264881,85
ENSG00000199562,106
ENSG00000264501,290
ENSG00000265945,294
ENSG00000142657,3157
ENSG00000271989,796
ENSG00000251503,1783
ENSG00000175279,2850
ENSG00000241563,1128
ENSG00000160049,6616
ENSG00000203469,465
ENSG00000142655,2983
ENSG00000243267,277
ENSG00000130940,11312
ENSG00000272078,7921
ENSG00000225158,237
ENSG00000175262,3561
ENSG00000215785,492
ENSG00000264181,87
ENSG00000207213,83
ENSG00000120948,4611
ENSG00000009724,4241
ENSG00000271895,869
ENSG00000116649,1891
ENSG00000171824,5980
ENSG00000226849,2680
ENSG00000230337,534
ENSG00000198793,12061
ENSG00000225602,758
ENSG00000253086,102
ENSG00000271794,106
ENSG00000171819,2233
ENSG00000207451,106
ENSG00000238173,149
ENSG00000120942,5077
ENSG00000238199,435
ENSG00000224338,564
ENSG00000204624,6122
ENSG00000235643,1282
ENSG00000116661,2325
ENSG00000132879,3519
ENSG00000116663,1804
ENSG00000116670,3317
ENSG00000162490,7339
ENSG00000177674,2426
ENSG00000215910,6483
ENSG00000177553,1865
ENSG00000177000,10201
ENSG00000011021,6859
ENSG00000242349,1423
ENSG00000175206,1116
ENSG00000120937,691
ENSG00000224904,2636
ENSG00000199347,119
ENSG00000201801,119
ENSG00000116685,3278
ENSG00000083444,5298
ENSG00000116688,4951
ENSG00000270914,92
ENSG00000116691,2813
ENSG00000202461,112
ENSG00000243539,272
ENSG00000120949,3723
ENSG00000201135,103
ENSG00000227875,254
ENSG00000028137,3756
ENSG00000263676,60
ENSG00000225196,315
ENSG00000252969,123
ENSG00000048707,20270
ENSG00000239149,151
ENSG00000229484,436
ENSG00000162496,3029
ENSG00000221340,100
ENSG00000272482,344
ENSG00000204518,1571
ENSG00000226166,111
ENSG00000188984,4045
ENSG00000238771,103
ENSG00000157330,4328
ENSG00000116726,1783
ENSG00000116721,2434
ENSG00000228338,376
ENSG00000204513,1835
ENSG00000231103,1413
ENSG00000179172,1106
ENSG00000120952,1638
ENSG00000243073,1824
ENSG00000187545,1521
ENSG00000204510,1840
ENSG00000207434,106
ENSG00000234064,1137
ENSG00000232423,3828
ENSG00000250894,1368
ENSG00000204508,1443
ENSG00000239810,604
ENSG00000270601,1423
ENSG00000250113,1419
ENSG00000204505,1425
ENSG00000233336,382
ENSG00000229978,1449
ENSG00000236179,889
ENSG00000179412,1154
ENSG00000224199,1449
ENSG00000229571,1474
ENSG00000204503,2101
ENSG00000233394,1419
ENSG00000204502,1851
ENSG00000231219,1066
ENSG00000207511,106
ENSG00000182330,1840
ENSG00000237700,1422
ENSG00000204501,1859
ENSG00000228229,382
ENSG00000204495,2160
ENSG00000204491,1437
ENSG00000204488,1584
ENSG00000204486,1593
ENSG00000204485,1840
ENSG00000224581,1422
ENSG00000157358,1859
ENSG00000204481,2518
ENSG00000204480,2120
ENSG00000204479,1575
ENSG00000204478,1593
ENSG00000162494,2207
ENSG00000259961,474
ENSG00000215909,369
ENSG00000162493,3698
ENSG00000222952,100
ENSG00000266358,100
ENSG00000237445,377
ENSG00000253085,129
ENSG00000116731,10908
ENSG00000252151,102
ENSG00000231606,280
ENSG00000234593,577
ENSG00000189337,12627
ENSG00000235829,324
ENSG00000175147,2957
ENSG00000171729,2235
ENSG00000204464,556
ENSG00000215720,708
ENSG00000142621,12763
ENSG00000233485,3103
ENSG00000236045,725
ENSG00000228140,5175
ENSG00000142634,2526
ENSG00000162438,3478
ENSG00000142615,1511
ENSG00000215704,1446
ENSG00000132906,5257
ENSG00000116138,8544
ENSG00000251866,139
ENSG00000272510,345
ENSG00000116771,2493
ENSG00000237301,2843
ENSG00000235084,461
ENSG00000252417,67
ENSG00000236500,224
ENSG00000197312,12126
ENSG00000215695,1853
ENSG00000271742,255
ENSG00000116786,4102
ENSG00000264048,86
ENSG00000237938,641
ENSG00000162461,3189
ENSG00000224459,637
ENSG00000162460,1514
ENSG00000162458,4704
ENSG00000224321,489
ENSG00000233954,515
ENSG00000178715,443
ENSG00000179743,2880
ENSG00000065526,13278
ENSG00000238818,100
ENSG00000270620,210
ENSG00000116809,4226
ENSG00000234607,562
ENSG00000231353,259
ENSG00000224966,954
ENSG00000183888,3037
ENSG00000233078,464
ENSG00000173641,3907
ENSG00000186510,3450
ENSG00000232456,699
ENSG00000184908,2878
ENSG00000185519,1694
ENSG00000142627,4141
ENSG00000227959,902
ENSG00000224621,542
ENSG00000234166,437
ENSG00000142632,3730
ENSG00000237276,1972
ENSG00000204377,250
ENSG00000132881,1540
ENSG00000233929,185
ENSG00000037637,8973
ENSG00000055070,4737
ENSG00000226457,380
ENSG00000187144,4484
ENSG00000157191,5550
ENSG00000226029,3243
ENSG00000080947,6798
ENSG00000206652,163
ENSG00000261135,1109
ENSG00000224174,325
ENSG00000233421,1561
ENSG00000268674,509
ENSG00000225710,879
ENSG00000266584,73
ENSG00000219481,12179
ENSG00000271732,338
ENSG00000215908,4522
ENSG00000186301,2670
ENSG00000207513,163
ENSG00000237847,509
ENSG00000264742,73
ENSG00000236698,434
ENSG00000268869,3165
ENSG00000268991,509
ENSG00000058453,8832
ENSG00000207389,163
ENSG00000227684,494
ENSG00000186715,5277
ENSG00000223643,832
ENSG00000230239,879
ENSG00000263811,72
ENSG00000228549,2961
ENSG00000238142,505
ENSG00000235241,507
ENSG00000207005,163
ENSG00000272426,437
ENSG00000117122,2909
ENSG00000226526,634
ENSG00000159363,5226
ENSG00000117118,2451
ENSG00000117115,5986
ENSG00000252180,87
ENSG00000204362,4673
ENSG00000142623,5045
ENSG00000142619,3173
ENSG00000266634,86
ENSG00000159339,2953
ENSG00000269468,333
ENSG00000256049,2381
ENSG00000179051,4113
ENSG00000227751,309
ENSG00000266727,63
ENSG00000239020,100
ENSG00000074964,7814
ENSG00000236648,606
ENSG00000117148,1858
ENSG00000261781,2468
ENSG00000117154,3074
ENSG00000230035,426
ENSG00000225387,489
ENSG00000179023,5054
ENSG00000235282,269
ENSG00000225478,222
ENSG00000009709,6304
ENSG00000179002,2536
ENSG00000255275,4342
ENSG00000159423,3670
ENSG00000265606,73
ENSG00000221662,77
ENSG00000169991,6179
ENSG00000272084,3401
ENSG00000127481,24588
ENSG00000266098,99
ENSG00000230424,505
ENSG00000127463,10629
ENSG00000053372,2814
ENSG00000211454,2761
ENSG00000162482,1703
ENSG00000270728,523
ENSG00000053371,1774
ENSG00000200403,106
ENSG00000040487,2677
ENSG00000265192,255
ENSG00000077549,3460
ENSG00000240490,285
ENSG00000201609,140
ENSG00000239027,104
ENSG00000235185,205
ENSG00000270136,2481
ENSG00000173436,5211
ENSG00000226396,454
ENSG00000158747,3450
ENSG00000158748,1981
ENSG00000162542,4035
ENSG00000178828,1248
ENSG00000235434,445
ENSG00000169914,6758
ENSG00000188784,781
ENSG00000242688,298
ENSG00000188257,1650
ENSG00000127472,2592
ENSG00000117215,2668
ENSG00000158786,6436
ENSG00000227066,2636
ENSG00000187980,3294
ENSG00000225986,508
ENSG00000162543,5569
ENSG00000228105,478
ENSG00000158816,6352
ENSG00000226664,227
ENSG00000236963,3158
ENSG00000226487,373
ENSG00000162545,2612
ENSG00000090432,2432
ENSG00000215520,762
ENSG00000183114,2580
ENSG00000158825,959
ENSG00000158828,4830
ENSG00000117242,4440
ENSG00000257033,346
ENSG00000244038,2663
ENSG00000117245,4452
ENSG00000235432,475
ENSG00000189410,4409
ENSG00000233069,297
ENSG00000127483,7428
ENSG00000203394,570
ENSG00000075151,8306
ENSG00000251914,61
ENSG00000221808,118
ENSG00000233072,384
ENSG00000236073,114
ENSG00000235112,294
ENSG00000266867,63
ENSG00000117298,7240
ENSG00000236936,720
ENSG00000231105,2476
ENSG00000236216,375
ENSG00000228823,647
ENSG00000236009,757
ENSG00000227001,705
ENSG00000187952,1234
ENSG00000186543,825
ENSG00000142794,6786
ENSG00000176378,326
ENSG00000162551,3000
ENSG00000233431,819
ENSG00000221781,137
ENSG00000076864,5618
ENSG00000090686,9467
ENSG00000231978,306
ENSG00000187942,4485
ENSG00000142798,17599
ENSG00000232037,482
ENSG00000219073,1530
ENSG00000264385,285
ENSG00000263991,294
ENSG00000201919,103
ENSG00000142789,1215
ENSG00000263582,283
ENSG00000263929,294
ENSG00000201273,103
ENSG00000228397,613
ENSG00000218510,1419
ENSG00000070831,3460
ENSG00000230068,690
ENSG00000271428,487
ENSG00000271840,747
ENSG00000162552,4520
ENSG00000266564,61
ENSG00000234397,491
ENSG00000184677,8973
ENSG00000237200,271
ENSG00000070886,5341
ENSG00000173372,1268
ENSG00000159189,1332
ENSG00000173369,1596
ENSG00000133216,6323
ENSG00000265422,81
ENSG00000216157,94
ENSG00000225952,478
ENSG00000264014,67
ENSG00000272796,4818
ENSG00000215906,1635
ENSG00000227868,606
ENSG00000004487,5427
ENSG00000240553,664
ENSG00000263793,67
ENSG00000266802,76
ENSG00000169641,9731
ENSG00000229010,817
ENSG00000206935,106
ENSG00000252578,100
ENSG00000179546,2847
ENSG00000215381,459
ENSG00000261326,5443
ENSG00000125944,8662
ENSG00000125945,4388
ENSG00000249087,2653
ENSG00000201405,92
ENSG00000271420,649
ENSG00000204219,3502
ENSG00000232482,423
ENSG00000088280,4961
ENSG00000007968,5450
ENSG00000235052,454
ENSG00000117318,1794
ENSG00000197880,2133
ENSG00000229239,1179
ENSG00000142676,1980
ENSG00000203589,1133
ENSG00000244609,280
ENSG00000011007,5379
ENSG00000236810,1342
ENSG00000057757,2180
ENSG00000011009,2187
ENSG00000117308,3949
ENSG00000117305,5645
ENSG00000179163,2039
ENSG00000188822,5464
ENSG00000264347,291
ENSG00000238538,97
ENSG00000229106,1266
ENSG00000232557,208
ENSG00000264926,77
ENSG00000230228,367
ENSG00000189266,2560
ENSG00000188529,10271
ENSG00000215905,326
ENSG00000225315,450
ENSG00000142661,9334
ENSG00000230703,458
ENSG00000142677,2791
ENSG00000185436,4915
ENSG00000230023,1846
ENSG00000221032,113
ENSG00000266511,88
ENSG00000232298,851
ENSG00000158055,3921
ENSG00000001460,8502
ENSG00000001461,9388
ENSG00000117602,6958
ENSG00000266551,259
ENSG00000264443,1442
ENSG00000184454,4117
ENSG00000227312,347
ENSG00000239106,102
ENSG00000133226,8145
ENSG00000238986,104
ENSG00000169504,4488
ENSG00000238482,106
ENSG00000020633,4596
ENSG00000229162,817
ENSG00000261025,2442
ENSG00000264371,83
ENSG00000233755,859
ENSG00000233419,401
ENSG00000231953,418
ENSG00000117614,3363
ENSG00000117616,6791
ENSG00000272432,484
ENSG00000261349,457
ENSG00000187010,3302
ENSG00000224183,479
ENSG00000259984,457
ENSG00000183726,3402
ENSG00000252515,63
ENSG00000238889,103
ENSG00000188672,2419
ENSG00000238084,568
ENSG00000266468,58
ENSG00000204178,3929
ENSG00000157978,5388
ENSG00000225643,481
ENSG00000117643,8997
ENSG00000233478,2222
ENSG00000162430,4407
ENSG00000255054,786
ENSG00000228172,611
ENSG00000117640,5808
ENSG00000223474,2076
ENSG00000272478,221
ENSG00000127423,2348
ENSG00000236528,847
ENSG00000182749,3295
ENSG00000207302,109
ENSG00000117632,6251
ENSG00000229786,250
ENSG00000223624,139
ENSG00000264021,92
ENSG00000266763,73
ENSG00000158006,3823
ENSG00000207237,103
ENSG00000252190,124
ENSG00000252691,83
ENSG00000158008,4526
ENSG00000158014,3490
ENSG00000158022,2564
ENSG00000265320,99
ENSG00000175087,4522
ENSG00000197245,1522
ENSG00000142684,1954
ENSG00000236782,1287
ENSG00000142675,4023
ENSG00000188782,2020
ENSG00000236155,3181
ENSG00000130695,5129
ENSG00000270733,357
ENSG00000142669,1778
ENSG00000158062,4686
ENSG00000169442,932
ENSG00000176092,5111
ENSG00000225854,345
ENSG00000265143,254
ENSG00000176083,2369
ENSG00000131914,4004
ENSG00000117682,5585
ENSG00000223583,534
ENSG00000225891,525
ENSG00000198830,2506
ENSG00000224129,896
ENSG00000117676,5856
ENSG00000238705,51
ENSG00000243905,300
ENSG00000252802,101
ENSG00000229247,237
ENSG00000238316,103
ENSG00000235069,234
ENSG00000260063,1999
ENSG00000117713,9225
ENSG00000266138,278
ENSG00000060642,3375
ENSG00000241188,288
ENSG00000204160,5427
ENSG00000175793,1314
ENSG00000142751,4972
ENSG00000226698,304
ENSG00000198746,2218
ENSG00000090273,2844
ENSG00000131910,1154
ENSG00000175707,1789
ENSG00000172746,495
ENSG00000224064,396
ENSG00000225294,443
ENSG00000253368,1974
ENSG00000158246,2366
ENSG00000090020,5960
ENSG00000229985,526
ENSG00000214973,639
ENSG00000225159,866
ENSG00000225990,219
ENSG00000224311,376
ENSG00000142784,5995
ENSG00000252098,103
ENSG00000243659,280
ENSG00000186501,4455
ENSG00000206888,106
ENSG00000241547,467
ENSG00000142765,5565
ENSG00000142733,4924
ENSG00000142748,2162
ENSG00000174950,2037
ENSG00000231207,353
ENSG00000181773,2113
ENSG00000158195,5657
ENSG00000241169,426
ENSG00000237429,281
ENSG00000126705,7149
ENSG00000000938,3459
ENSG00000235912,191
ENSG00000233975,439
ENSG00000126709,860
ENSG00000225886,487
ENSG00000206767,106
ENSG00000226662,661
ENSG00000207095,104
ENSG00000009780,4023
ENSG00000231344,348
ENSG00000230833,675
ENSG00000117758,3836
ENSG00000269971,183
ENSG00000270031,358
ENSG00000223062,105
ENSG00000117751,2812
ENSG00000252947,165
ENSG00000268552,170
ENSG00000130775,4614
ENSG00000117748,2011
ENSG00000130768,2659
ENSG00000227050,486
ENSG00000158156,2739
ENSG00000158161,6463
ENSG00000238231,366
ENSG00000240750,294
ENSG00000228589,1351
ENSG00000228943,233
ENSG00000214812,555
ENSG00000253005,104
ENSG00000252429,61
ENSG00000169403,4703
ENSG00000126698,2597
ENSG00000215902,64
ENSG00000269804,349
ENSG00000130770,2222
ENSG00000270605,1944
ENSG00000271398,424
ENSG00000130766,3443
ENSG00000130772,2013
ENSG00000204138,7147
ENSG00000206779,100
ENSG00000229820,393
ENSG00000221216,118
ENSG00000180198,3869
ENSG00000242125,4085
ENSG00000200087,203
ENSG00000238821,99
ENSG00000231468,609
ENSG00000180098,4297
ENSG00000197989,3374
ENSG00000221539,73
ENSG00000120656,2328
ENSG00000188060,2177
ENSG00000229388,975
ENSG00000270103,133
ENSG00000162419,6449
ENSG00000252777,129
ENSG00000198492,3852
ENSG00000116329,1771
ENSG00000226852,1745
ENSG00000233427,1082
ENSG00000199756,109
ENSG00000159023,8258
ENSG00000225616,330
ENSG00000206704,100
ENSG00000253304,2636
ENSG00000225750,276
ENSG00000116350,3201
ENSG00000227637,318
ENSG00000116353,3907
ENSG00000237934,570
ENSG00000060656,6666
ENSG00000221550,141
ENSG00000230523,2145
ENSG00000266678,81
ENSG00000225011,347
ENSG00000221126,133
ENSG00000228176,496
ENSG00000222787,103
ENSG00000270927,492
ENSG00000233399,1512
ENSG00000233372,549
ENSG00000231251,92
ENSG00000236335,504
ENSG00000231949,478
ENSG00000162510,4598
ENSG00000186056,4020
ENSG00000162511,3266
ENSG00000264773,76
ENSG00000229607,442
ENSG00000223382,1320
ENSG00000222784,287
ENSG00000235143,1745
ENSG00000162512,7059
ENSG00000134644,6596
ENSG00000200154,85
ENSG00000202107,85
ENSG00000200181,72
ENSG00000237329,506
ENSG00000232768,162
ENSG00000215900,250
ENSG00000225142,435
ENSG00000084628,2979
ENSG00000060688,4000
ENSG00000229447,436
ENSG00000121766,1882
ENSG00000229044,436
ENSG00000121769,1019
ENSG00000168528,3506
ENSG00000268950,422
ENSG00000215899,1341
ENSG00000206981,106
ENSG00000228682,1163
ENSG00000223907,2738
ENSG00000229167,588
ENSG00000142910,5915
ENSG00000121764,2494
ENSG00000162517,2768
ENSG00000235790,1981
ENSG00000264078,478
ENSG00000084636,9287
ENSG00000121753,7727
ENSG00000266580,75
ENSG00000254545,535
ENSG00000134668,7071
ENSG00000203620,2255
ENSG00000269967,585
ENSG00000184007,6415
ENSG00000212673,1571
ENSG00000228634,515
ENSG00000121774,3577
ENSG00000203325,621
ENSG00000121775,3449
ENSG00000266203,58
ENSG00000025800,7671
ENSG00000250135,665
ENSG00000084652,5092
ENSG00000160050,2812
ENSG00000224066,1352
ENSG00000160051,2288
ENSG00000222046,1862
ENSG00000160055,3578
ENSG00000084623,1714
ENSG00000220785,2952
ENSG00000183615,934
ENSG00000182866,3327
ENSG00000252450,109
ENSG00000116478,3996
ENSG00000175130,1697
ENSG00000233775,685
ENSG00000162526,2186
ENSG00000225828,2843
ENSG00000160058,6264
ENSG00000224333,1006
ENSG00000270850,340
ENSG00000229259,1797
ENSG00000263529,297
ENSG00000254553,3437
ENSG00000273274,12830
ENSG00000160062,7070
ENSG00000176261,3521
ENSG00000200591,101
ENSG00000162521,9455
ENSG00000162520,3935
ENSG00000224409,393
ENSG00000162522,5956
ENSG00000134684,8197
ENSG00000116497,9174
ENSG00000160097,3131
ENSG00000121905,1985
ENSG00000121900,1410
ENSG00000221423,105
ENSG00000116514,2601
ENSG00000267885,374
ENSG00000217644,530
ENSG00000239670,861
ENSG00000236065,1678
ENSG00000004455,5670
ENSG00000142920,6550
ENSG00000116525,3639
ENSG00000160094,3321
ENSG00000270115,468
ENSG00000256142,1343
ENSG00000184389,1050
ENSG00000225313,1079
ENSG00000134686,5387
ENSG00000266239,99
ENSG00000222112,298
ENSG00000233246,487
ENSG00000221225,86
ENSG00000234512,2705
ENSG00000121903,5300
ENSG00000235907,735
ENSG00000121904,18069
ENSG00000227000,1617
ENSG00000176256,2556
ENSG00000231163,2243
ENSG00000201148,114
ENSG00000142698,2568
ENSG00000221053,83
ENSG00000270241,433
ENSG00000207941,95
ENSG00000163866,8084
ENSG00000189280,1353
ENSG00000189433,2838
ENSG00000255811,558
ENSG00000216162,83
ENSG00000188910,2384
ENSG00000187513,1715
ENSG00000230163,718
ENSG00000116544,3964
ENSG00000252728,68
ENSG00000241014,3342
ENSG00000271741,3082
ENSG00000243749,919
ENSG00000163867,9599
ENSG00000233940,476
ENSG00000197056,4815
ENSG00000228348,462
ENSG00000116560,7412
ENSG00000201868,93
ENSG00000263591,260
ENSG00000146463,7615
ENSG00000240374,298
ENSG00000201542,151
ENSG00000229994,885
ENSG00000227409,457
ENSG00000202129,77
ENSG00000142687,9600
ENSG00000236274,999
ENSG00000020129,4908
ENSG00000239636,1026
ENSG00000116819,2182
ENSG00000126067,2695
ENSG00000239859,249
ENSG00000142686,3626
ENSG00000092853,5384
ENSG00000232335,537
ENSG00000134698,7249
ENSG00000092847,12866
ENSG00000271164,482
ENSG00000271914,395
ENSG00000126070,21226
ENSG00000271554,655
ENSG00000232862,1541
ENSG00000092850,1968
ENSG00000116863,1662
ENSG00000171812,4666
ENSG00000054116,3308
ENSG00000116871,5255
ENSG00000264592,253
ENSG00000054118,4721
ENSG00000231849,258
ENSG00000214193,4456
ENSG00000142694,1207
ENSG00000116883,1836
ENSG00000196182,5576
ENSG00000181817,1492
ENSG00000222821,138
ENSG00000116885,2807
ENSG00000201448,128
ENSG00000116898,2908
ENSG00000119535,8411
ENSG00000230214,522
ENSG00000234481,461
ENSG00000163873,10095
ENSG00000264698,71
ENSG00000207328,106
ENSG00000223944,592
ENSG00000252368,109
ENSG00000230451,144
ENSG00000233621,1392
ENSG00000163874,3111
ENSG00000163875,3478
ENSG00000263675,59
ENSG00000163877,4883
ENSG00000232273,531
ENSG00000237749,265
ENSG00000163879,4451
ENSG00000134697,5728
ENSG00000169218,3152
ENSG00000116922,4417
ENSG00000134690,2459
ENSG00000183317,8127
ENSG00000200421,99
ENSG00000238871,100
ENSG00000214141,1890
ENSG00000227416,428
ENSG00000185090,3014
ENSG00000233728,698
ENSG00000196449,1821
ENSG00000197982,2229
ENSG00000188786,8012
ENSG00000230610,43
ENSG00000235673,690
ENSG00000204084,9072
ENSG00000230955,479
ENSG00000252448,80
ENSG00000222282,94
ENSG00000183431,4724
ENSG00000212541,107
ENSG00000183386,1998
ENSG00000183520,3377
